"date","energy","impact_e","lat","lat_dir","lon","lon_dir","alt","vel"
2014-01-12,7.8,0.24,2.9,"N",-64.4,"E",37,16.2
2014-01-08,3.1,0.11,-1.3,"S",-147.6,"E",18.7,44.8
2013-12-23,14.7,0.43,39.5,"N",-2,"E",34.3,15.1
2013-12-08,6.4,0.2,32.8,"N",165.1,"W",23.5,11.8
2013-11-21,7.5,0.23,44.7,"N",-35.3,"E",59.3,12.4
2013-10-12,161,3.5,-19.1,"S",25,"W",22.2,12.8
2013-10-09,6,0.19,NA,NA,NA,NA,NA,NA
2013-09-24,16,0.46,-10.3,"S",164.7,"W",40.7,NA
2013-08-12,4.4,0.15,-34.4,"S",-118.2,"E",66.6,NA
2013-07-31,3.9,0.13,NA,NA,NA,NA,NA,NA
2013-07-31,6.9,0.22,-31.8,"S",-137.1,"E",29.1,17.8
2013-07-30,39,1,-50.2,"S",-90.2,"E",25.6,18.8
2013-07-27,12,0.36,0.3,"N",-156.2,"E",26.5,22.1
2013-07-26,2,0.073,21,"N",178.5,"W",37,NA
2013-07-18,2.2,0.079,NA,NA,NA,NA,NA,NA
2013-06-13,2.2,0.079,NA,NA,NA,NA,NA,NA
2013-06-01,3.4,0.12,-65.6,"S",-138.4,"E",28.9,NA
2013-05-14,2,0.073,-3,"S",-76.4,"E",NA,NA
2013-04-30,511,10,35.5,"N",30.7,"W",21.2,12.1
2013-04-21,106.6,2.5,-28.1,"S",64.6,"W",40.7,14.9
2013-03-12,2.9,0.1,-32.7,"S",-17.1,"E",26,NA
2013-02-20,3.2,0.1,-23,"S",38.8,"W",NA,13.6
2013-02-15,37500,440,54.8,"N",-61.1,"E",23.3,18.6
2013-02-07,6.5,0.21,-18.8,"S",158.6,"W",NA,NA
2013-01-25,340,6.9,60.3,"N",64.6,"W",NA,NA
2013-01-12,4.8,0.16,-15.1,"S",155.6,"W",36.1,NA
2012-12-30,19.8,0.55,17.3,"N",83.6,"W",NA,NA
2012-12-18,2.7,0.095,NA,NA,NA,NA,NA,NA
2012-11-20,2.5,0.089,2.5,"N",-29.6,"E",33.3,14.3
2012-11-20,12,0.36,-8,"S",86,"W",NA,NA
2012-10-25,3,0.1,NA,NA,NA,NA,NA,NA
2012-10-19,2.3,0.082,-75.4,"S",-49.6,"E",29.3,13.2
2012-10-09,21,0.58,51.2,"N",84.6,"W",27.8,13.5
2012-10-03,28,0.75,-41.5,"S",21.9,"W",NA,17
2012-10-02,47,1.2,-8.1,"S",111.9,"W",35,15.4
2012-09-28,3.8,0.13,-6.9,"S",-73.7,"E",NA,NA
2012-09-18,24.4,0.67,1.2,"N",52.2,"W",28.1,18.3
2012-09-11,5.2,0.17,-18.9,"S",-105.2,"E",NA,NA
2012-09-10,2.3,0.082,-69.8,"S",111.7,"W",23.8,16.9
2012-08-27,6.8,0.22,-18.3,"S",-64.2,"E",38.7,28.9
2012-08-26,24.9,0.68,11.8,"N",-117,"E",36,12.7
2012-08-13,3.3,0.11,NA,NA,NA,NA,NA,NA
2012-07-27,3.4,0.12,63.1,"N",-172.3,"E",27.2,NA
2012-07-25,13.3,0.39,36.4,"N",-41.5,"E",26.8,18.5
2012-06-05,2.4,0.086,NA,NA,NA,NA,NA,NA
2012-05-25,6,0.19,-41.8,"S",36.2,"W",NA,NA
2012-05-22,21.1,0.59,NA,NA,NA,NA,NA,NA
2012-05-15,13.2,0.39,-61.8,"S",135.5,"W",33.3,17.1
2012-05-04,22.9,0.63,76.7,"N",10.6,"W",NA,NA
2012-04-23,4.4,0.15,36.2,"N",-107.4,"E",25.2,NA
2012-04-21,14.3,0.42,-15.8,"S",174.8,"W",NA,NA
2012-04-19,3,0.1,5.5,"N",-16.8,"E",NA,NA
2012-04-02,3.2,0.11,28.1,"N",95.2,"W",NA,NA
2012-03-12,9.9,0.3,2.5,"N",-139.8,"E",25,11.8
2012-03-03,10.1,0.31,7.8,"N",-2.7,"E",20.4,NA
2012-03-01,2.2,0.079,46.9,"N",29.8,"W",NA,NA
2012-02-24,3.7,0.13,-22.7,"S",-30.8,"E",NA,NA
2012-02-17,15.4,0.44,-3.2,"S",39.9,"W",45.6,NA
2012-02-12,14,0.41,-31.7,"S",-54.9,"E",61,NA
2012-02-04,15,0.43,32.4,"N",-0.1,"E",34.2,12.2
2012-01-15,2.1,0.076,-64.1,"S",-109.9,"E",26.3,12.3
2012-01-11,8.5,0.26,32.2,"N",-88.5,"E",NA,NA
2011-12-19,13.5,0.4,-30.2,"S",-52.6,"E",36.1,NA
2011-12-14,5,0.16,-62.9,"S",-89.6,"E",32.4,NA
2011-12-11,2.9,0.1,NA,NA,NA,NA,NA,NA
2011-11-20,2.3,0.082,-27.9,"S",-116.3,"E",NA,NA
2011-10-12,3.6,0.12,-26.4,"S",78.4,"W",NA,NA
2011-09-13,6.7,0.21,-19.9,"S",13.8,"W",21.3,16.7
2011-08-31,2.7,0.095,18.6,"N",5.1,"W",NA,NA
2011-08-20,2.3,0.082,-27.2,"S",2.8,"W",NA,NA
2011-08-18,2.3,0.082,NA,NA,NA,NA,NA,NA
2011-08-11,3.5,0.12,NA,NA,NA,NA,NA,NA
2011-08-04,2.8,0.098,-40.7,"S",86.7,"W",63,NA
2011-07-27,4.4,0.15,-45.3,"S",-63.5,"E",29.6,NA
2011-07-07,3.3,0.11,NA,NA,NA,NA,NA,NA
2011-07-05,6.5,0.21,29.1,"N",-139.7,"E",40.7,NA
2011-07-04,2.9,0.1,-51.7,"S",-175,"E",NA,NA
2011-06-16,2.4,0.086,67.3,"N",21.4,"W",40.5,NA
2011-05-25,228,4.8,4.1,"N",-14,"E",59,11.6
2011-05-16,2,0.073,-1.2,"S",-92.8,"E",NA,NA
2011-04-27,22,0.61,1.4,"N",126.6,"W",28.7,NA
2011-04-27,2.4,0.086,NA,NA,NA,NA,NA,NA
2011-04-17,2.4,0.086,NA,NA,NA,NA,NA,NA
2011-04-06,14.8,0.43,71.1,"N",43.5,"W",22.2,12.7
2011-03-24,5.8,0.19,0.6,"N",127.5,"W",59,NA
2011-03-23,3.1,0.11,NA,NA,NA,NA,NA,NA
2011-03-23,2.2,0.079,-16.8,"S",85.6,"W",NA,NA
2011-03-01,3.7,0.13,53.5,"N",-103.9,"E",30.6,11.9
2011-02-21,3.9,0.13,26.3,"N",-43.7,"E",44.4,18
2011-02-12,2,0.073,7.8,"N",95.3,"W",NA,NA
2011-01-21,7.2,0.23,18.9,"N",44.6,"W",61,NA
2011-01-08,2.9,0.1,33.3,"N",125.8,"W",48,NA
2010-12-25,2000,33,38,"N",-158,"E",26,18.1
2010-12-14,3.9,0.13,-4.9,"S",-175.5,"E",24,NA
2010-12-09,6.3,0.2,-54.5,"S",169.7,"W",66,NA
2010-12-01,13.3,0.39,-72.5,"S",-144.9,"E",33.3,NA
2010-11-21,8.1,0.25,1.9,"N",-143.3,"E",50,NA
2010-11-19,3.3,0.11,-10.3,"S",-148.8,"E",30,NA
2010-11-10,6.8,0.22,74.5,"N",77.7,"W",NA,NA
2010-11-09,8.6,0.27,-56.3,"S",16.7,"W",37,NA
